"TIME","GEO","SEX","UNIT","Value"
"2000W12","Albania","Total","Number",":"
"2000W12","Serbia","Total","Number","1,959"
"2000W12","Andorra","Total","Number",":"
"2000W12","Armenia","Total","Number",":"
"2000W12","Georgia","Total","Number",":"
"2000W13","Belgium","Total","Number","1,894"
"2000W13","Bulgaria","Total","Number","2,319"
"2000W13","Czechia","Total","Number",":"
"2000W13","Denmark","Total","Number",":"
"2000W13","Germany (until 1990 former territory of the FRG)","Total","Number","16,238"
"2000W13","Estonia","Total","Number","324"
"2000W13","Ireland","Total","Number",":"
"2000W13","Greece","Total","Number",":"
"2000W13","Spain","Total","Number","6,846"
"2000W13","France","Total","Number",":"
"2000W13","Croatia","Total","Number","997"
"2000W13","Italy","Total","Number",":"
"2000W13","Cyprus","Total","Number",":"
"2000W13","Latvia","Total","Number","580"
"2000W13","Lithuania","Total","Number","768"
"2000W13","Luxembourg","Total","Number","65"
"2000W13","Hungary","Total","Number","2,525"
"2000W13","Malta","Total","Number",":"
"2000W13","Netherlands","Total","Number","2,557"
"2000W13","Austria","Total","Number","1,428"
"2000W13","Poland","Total","Number","6,919"
"2000W13","Portugal","Total","Number","2,011"
"2000W13","Romania","Total","Number",":"
"2000W13","Slovenia","Total","Number","373"
"2000W13","Slovakia","Total","Number","986"
"2000W13","Finland","Total","Number","893"
"2000W13","Sweden","Total","Number","1,732"
"2000W13","Iceland","Total","Number","24"
"2000W13","Liechtenstein","Total","Number","6"
"2000W13","Norway","Total","Number","808"
"2000W13","Switzerland","Total","Number","1,178"
"2000W13","United Kingdom","Total","Number",":"
"2000W13","Montenegro","Total","Number",":"
"2000W13","Albania","Total","Number",":"
"2000W13","Serbia","Total","Number","1,948"
"2000W13","Andorra","Total","Number",":"
"2000W13","Armenia","Total","Number",":"
"2000W13","Georgia","Total","Number",":"
"2000W14","Belgium","Total","Number","1,973"
"2000W14","Bulgaria","Total","Number","2,141"
"2000W14","Czechia","Total","Number",":"
"2000W14","Denmark","Total","Number",":"
"2000W14","Germany (until 1990 former territory of the FRG)","Total","Number","15,915"
"2000W14","Estonia","Total","Number","374"
"2000W14","Ireland","Total","Number",":"
"2000W14","Greece","Total","Number",":"
"2000W14","Spain","Total","Number","6,793"
"2000W14","France","Total","Number",":"
"2000W14","Croatia","Total","Number","910"
"2000W14","Italy","Total","Number",":"
"2000W14","Cyprus","Total","Number",":"
"2000W14","Latvia","Total","Number","595"
"2000W14","Lithuania","Total","Number","692"
"2000W14","Luxembourg","Total","Number","71"
"2000W14","Hungary","Total","Number","2,591"
"2000W14","Malta","Total","Number",":"
"2000W14","Netherlands","Total","Number","2,696"
"2000W14","Austria","Total","Number","1,475"
"2000W14","Poland","Total","Number","6,818"
"2000W14","Portugal","Total","Number","1,942"
"2000W14","Romania","Total","Number",":"
"2000W14","Slovenia","Total","Number","350"
"2000W14","Slovakia","Total","Number","1,019"
"2000W14","Finland","Total","Number","935"
"2000W14","Sweden","Total","Number","1,709"
"2000W14","Iceland","Total","Number","23"
"2000W14","Liechtenstein","Total","Number","7"
"2000W14","Norway","Total","Number","775"
"2000W14","Switzerland","Total","Number","1,166"
"2000W14","United Kingdom","Total","Number",":"
"2000W14","Montenegro","Total","Number",":"
"2000W14","Albania","Total","Number",":"
"2000W14","Serbia","Total","Number","1,863"
"2000W14","Andorra","Total","Number",":"
"2000W14","Armenia","Total","Number",":"
"2000W14","Georgia","Total","Number",":"
"2000W15","Belgium","Total","Number","2,002"
"2000W15","Bulgaria","Total","Number","2,230"
"2000W15","Czechia","Total","Number",":"
"2000W15","Denmark","Total","Number",":"
"2000W15","Germany (until 1990 former territory of the FRG)","Total","Number","15,997"
"2000W15","Estonia","Total","Number","322"
"2000W15","Ireland","Total","Number",":"
"2000W15","Greece","Total","Number",":"
"2000W15","Spain","Total","Number","7,011"
"2000W15","France","Total","Number",":"
"2000W15","Croatia","Total","Number","1,013"
"2000W15","Italy","Total","Number",":"
"2000W15","Cyprus","Total","Number",":"
"2000W15","Latvia","Total","Number","604"
"2000W15","Lithuania","Total","Number","715"
"2000W15","Luxembourg","Total","Number","68"
"2000W15","Hungary","Total","Number","2,545"
"2000W15","Malta","Total","Number",":"
"2000W15","Netherlands","Total","Number","2,691"
"2000W15","Austria","Total","Number","1,543"
"2000W15","Poland","Total","Number","6,962"
"2000W15","Portugal","Total","Number","1,968"
"2000W15","Romania","Total","Number",":"
"2000W15","Slovenia","Total","Number","346"
"2000W15","Slovakia","Total","Number","982"
"2000W15","Finland","Total","Number","965"
"2000W15","Sweden","Total","Number","1,846"
"2000W15","Iceland","Total","Number","34"
"2000W15","Liechtenstein","Total","Number","4"
"2000W15","Norway","Total","Number","823"
"2000W15","Switzerland","Total","Number","1,142"
"2000W15","United Kingdom","Total","Number",":"
"2000W15","Montenegro","Total","Number",":"
"2000W15","Albania","Total","Number",":"
"2000W15","Serbia","Total","Number","2,022"
"2000W15","Andorra","Total","Number",":"
"2000W15","Armenia","Total","Number",":"
"2000W15","Georgia","Total","Number",":"
"2000W16","Belgium","Total","Number","1,952"
"2000W16","Bulgaria","Total","Number","2,170"
"2000W16","Czechia","Total","Number",":"
"2000W16","Denmark","Total","Number",":"
"2000W16","Germany (until 1990 former territory of the FRG)","Total","Number","16,082"
"2000W16","Estonia","Total","Number","341"
"2000W16","Ireland","Total","Number",":"
"2000W16","Greece","Total","Number",":"
"2000W16","Spain","Total","Number","6,793"
"2000W16","France","Total","Number",":"
"2000W16","Croatia","Total","Number","964"
"2000W16","Italy","Total","Number",":"
"2000W16","Cyprus","Total","Number",":"
"2000W16","Latvia","Total","Number","611"
"2000W16","Lithuania","Total","Number","780"
"2000W16","Luxembourg","Total","Number","67"
"2000W16","Hungary","Total","Number","2,539"
"2000W16","Malta","Total","Number",":"
"2000W16","Netherlands","Total","Number","2,712"
"2000W16","Austria","Total","Number","1,391"
"2000W16","Poland","Total","Number","6,931"
"2000W16","Portugal","Total","Number","1,976"
"2000W16","Romania","Total","Number",":"
"2000W16","Slovenia","Total","Number","340"
"2000W16","Slovakia","Total","Number","1,062"
"2000W16","Finland","Total","Number","921"
"2000W16","Sweden","Total","Number","1,703"
"2000W16","Iceland","Total","Number","33"
"2000W16","Liechtenstein","Total","Number","2"
"2000W16","Norway","Total","Number","830"
"2000W16","Switzerland","Total","Number","1,105"
"2000W16","United Kingdom","Total","Number",":"
"2000W16","Montenegro","Total","Number",":"
"2000W16","Albania","Total","Number",":"
"2000W16","Serbia","Total","Number","1,940"
"2000W16","Andorra","Total","Number",":"
"2000W16","Armenia","Total","Number",":"
"2000W16","Georgia","Total","Number",":"
"2000W17","Belgium","Total","Number","1,966"
"2000W17","Bulgaria","Total","Number","1,999"
"2000W17","Czechia","Total","Number",":"
"2000W17","Denmark","Total","Number",":"
"2000W17","Germany (until 1990 former territory of the FRG)","Total","Number","15,618"
"2000W17","Estonia","Total","Number","286"
"2000W17","Ireland","Total","Number",":"
"2000W17","Greece","Total","Number",":"
"2000W17","Spain","Total","Number","6,553"
"2000W17","France","Total","Number",":"
"2000W17","Croatia","Total","Number","876"
"2000W17","Italy","Total","Number",":"
"2000W17","Cyprus","Total","Number",":"
"2000W17","Latvia","Total","Number","594"
"2000W17","Lithuania","Total","Number","758"
"2000W17","Luxembourg","Total","Number","68"
"2000W17","Hungary","Total","Number","2,456"
"2000W17","Malta","Total","Number",":"
"2000W17","Netherlands","Total","Number","2,652"
"2000W17","Austria","Total","Number","1,392"
"2000W17","Poland","Total","Number","6,807"
"2000W17","Portugal","Total","Number","1,918"
"2000W17","Romania","Total","Number",":"
"2000W17","Slovenia","Total","Number","316"
"2000W17","Slovakia","Total","Number","984"
"2000W17","Finland","Total","Number","917"
"2000W17","Sweden","Total","Number","1,682"
"2000W17","Iceland","Total","Number","29"
"2000W17","Liechtenstein","Total","Number","4"
"2000W17","Norway","Total","Number","781"
"2000W17","Switzerland","Total","Number","1,174"
"2000W17","United Kingdom","Total","Number",":"
"2000W17","Montenegro","Total","Number",":"
"2000W17","Albania","Total","Number",":"
"2000W17","Serbia","Total","Number","1,775"
